Code service CH|Reference document|1 Articles CGI|2 Articles CGI|3 Articles CGI|4 Articles CGI|5 Articles CGI|No disposition|Date mutation|Nature mutation|Valeur fonciere|No voie|B/T/Q|Type de voie|Code voie|Voie|Code postal|Commune|Code departement|Code commune|Prefixe de section|Section|No plan|No Volume|1er lot|Surface Carrez du 1er lot|2eme lot|Surface Carrez du 2eme lot|3eme lot|Surface Carrez du 3eme lot|4eme lot|Surface Carrez du 4eme lot|5eme lot|Surface Carrez du 5eme lot|Nombre de lots|Code type local|Type local|Identifiant local|Surface reelle bati|Nombre pieces principales|Nature culture|Nature culture speciale|Surface terrain
|||||||1|27/07/2018|Vente|284000,00|6||RUE|0575|DES SAULES|35510|CESSON-SEVIGNE|35|51||AV|115||29||||||||||1|2|Appartement||99|4|||
|||||||1|27/07/2018|Vente|284000,00|10||RUE|0575|DES SAULES|35510|CESSON-SEVIGNE|35|51||AV|115||87||||||||||1|3|Dépendance||0|0|||
|||||||1|03/08/2018|Vente|385000,00|18||RUE|0086|DU DOCTEUR LEON|35740|PACE|35|210||BB|227||||||||||||0|4|Local industriel. commercial ou assimilé||580|0|S||580
|||||||1|03/08/2018|Vente|385000,00|||RUE|0086|DU DOCTEUR LEON|35740|PACE|35|210||BB|273||||||||||||0||||||S||52
|||||||1|31/07/2018|Vente|138000,00|26||AV|0207|DE LA LIBERATION|35760|SAINT-GREGOIRE|35|278||BI|2||12||||||||||1|2|Appartement||44|2|||
|||||||1|31/07/2018|Vente|138000,00|26||AV|0207|DE LA LIBERATION|35760|SAINT-GREGOIRE|35|278||BI|2||11||||||||||1|2|Appartement||47|2|||
|||||||1|27/07/2018|Vente|336200,00|10||RUE|0032|DU CHAMP CERISIER|35850|GEVEZE|35|120||AM|213||||||||||||0|1|Maison||162|7|S||935
|||||||1|18/07/2018|Vente en l'état futur d'achèvement|16000,00|||||||RENNES|35|238||DI|170||79||||||||||1||||||||
|||||||1|18/07/2018|Vente en l'état futur d'achèvement|16000,00|||||||RENNES|35|238||DI|170||32||||||||||1||||||||
|||||||1|27/07/2018|Vente|17000,00|||RUE|3230|FRANCOIS CHARLES OBERTHUR|35000|RENNES|35|238||BN|825||||||||||||0||||||S||128
|||||||1|27/07/2018|Vente|17000,00|18||RUE|3230|FRANCOIS CHARLES OBERTHUR|35000|RENNES|35|238||BN|827||3||||||||||1|3|Dépendance||0|0|||
|||||||1|27/07/2018|Vente|17000,00|||RUE|3230|FRANCOIS CHARLES OBERTHUR|35000|RENNES|35|238||BN|866||||||||||||0||||||S||40
|||||||1|27/07/2018|Vente|475690,00|2||RUE|8157|RAOUL PONCHON|35000|RENNES|35|238||BN|824||41||||||||||1|3|Dépendance||0|0|||
